Company;Year;Code;Revenue
PT Danareksa (Persero);2019;7;394009
PT Garuda Indonesia (Persero) Tbk;2019;4;64807998
PT Hutama Karya (Persero);2019;37;26391551
PT Indonesia Asahan Aluminium (Persero);2019;23;80628662
PT Industri Kereta Api (Persero);2019;17;3401342
PT Industri Nuklir Indonesia (Persero);2019;13;36234
PT Jasa Marga (Persero) Tbk;2019;38;26345260
PT Kereta Api Indonesia (Persero);2019;50;26251715
PT Krakatau Steel (Persero) Tbk;2019;16;19860065
PT LEN Industri (Persero);2019;15;4238284
PT Pelabuhan Indonesia (Persero);2019;46;28510401
PT Pelayaran Nasional Indonesia (Persero);2019;45;5656607
PT Pembangunan Perumahan (Persero) Tbk;2019;39;24659999
PT Pengembangan Pariwisata Indonesia (Persero);2019;6;313478
PT Perkebunan Nusantara III (Persero);2019;21;37161525
PT Pertamina (Persero);2019;10;772154558
PT Perusahaan Listrik Negara (Persero);2019;11;359644327
PT Pos Indonesia (Persero);2019;49;5341638
PT Pupuk Indonesia (Persero);2019;19;71307242
PT Rajawali Nusantara Indonesia (Persero);2019;20;6523333
PT Reasuransi Indonesia Utama (Persero);2019;24;4756223
PT Semen Baturaja (Persero) Tbk;2019;35;1999517
PT Semen Indonesia (Persero) Tbk;2019;40;40368107
PT Taspen (Persero);2019;25;18167392
PT Telekomunikasi Indonesia (Persero) Tbk;2019;8;135567000
PT Waskita Karya (Persero) Tbk;2019;41;31387390
PT Wijaya Karya (Persero) Tbk;2019;42;27212914
Perum Bulog;2018;18;28436610
Perum Damri;2018;47;1237678
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2018;5;3275758
Perum Pengangkutan Penumpang Djakarta;2018;48;328554
Perum Percetakan Uang Republik Indonesia;2018;33;3196517
Perum Perhutani;2018;22;5361968
Perum Perumnas;2018;43;2667116
Perum Produksi Film Negara;2018;9;22365
PT Adhi Karya (Persero) Tbk;2018;34;15655499
PT ASABRI (Persero);2018;26;2630841
PT ASDP Indonesia Ferry (Persero);2018;44;2799967
PT Asuransi Jiwasraya (Persero);2018;27;7811135
PT Aviasi Pariwisata Indonesia (Persero);2018;3;20007416
PT Bahana Pembinaan Usaha Indonesia (Persero);2018;28;21227597
PT Bank Mandiri (Persero) Tbk;2018;29;119681209
PT Bank Negara Indonesia (Persero) Tbk;2018;30;71748629
PT Bank Rakyat Indonesia (Persero) Tbk;2018;31;153906657
PT Bank Tabungan Negara (Persero) Tbk;2018;32;24923352
PT BioFarma (Persero);2018;12;12282320
PT Biro Klasifikasi Indonesia (Persero);2018;14;5014909
PT Brantas Abipraya (Persero);2018;36;4729278
PT Danareksa (Persero);2018;7;287442
PT Garuda Indonesia (Persero) Tbk;2018;4;62300281
PT Hutama Karya (Persero);2018;37;26747664
PT Indonesia Asahan Aluminium (Persero);2018;23;65277429
PT Industri Kereta Api (Persero);2018;17;3255889
PT Industri Nuklir Indonesia (Persero);2018;13;23618
PT Jasa Marga (Persero) Tbk;2018;38;36974075
PT Kereta Api Indonesia (Persero);2018;50;26864014
PT Krakatau Steel (Persero) Tbk;2018;16;24781416
PT LEN Industri (Persero);2018;15;5337972
PT Pelabuhan Indonesia (Persero);2018;46;29416465
PT Pelayaran Nasional Indonesia (Persero);2018;45;4593313
PT Pembangunan Perumahan (Persero) Tbk;2018;39;25119560
PT Pengembangan Pariwisata Indonesia (Persero);2018;6;289816
PT Perkebunan Nusantara III (Persero);2018;21;33320129
PT Pertamina (Persero);2018;10;798687886
PT Perusahaan Listrik Negara (Persero);2018;11;328663833
PT Pos Indonesia (Persero);2018;49;5223036
PT Pupuk Indonesia (Persero);2018;19;69448132
PT Rajawali Nusantara Indonesia (Persero);2018;20;5186962
PT Reasuransi Indonesia Utama (Persero);2018;24;4457768
PT Semen Baturaja (Persero) Tbk;2018;35;1995808
PT Semen Indonesia (Persero) Tbk;2018;40;30687626
PT Taspen (Persero);2018;25;15726606
PT Telekomunikasi Indonesia (Persero) Tbk;2018;8;132604000
PT Waskita Karya (Persero) Tbk;2018;41;48788951
PT Wijaya Karya (Persero) Tbk;2018;42;31158193
Perum Bulog;2017;18;32879655
Perum Damri;2017;47;1155152
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2017;5;2786354
Perum Pengangkutan Penumpang Djakarta;2017;48;255196
Perum Percetakan Uang Republik Indonesia;2017;33;3478382
Perum Perhutani;2017;22;3619067
Perum Perumnas;2017;43;2337390
Perum Produksi Film Negara;2017;9;16344
PT Adhi Karya (Persero) Tbk;2017;34;15387120
PT ASABRI (Persero);2017;26;4825386
PT ASDP Indonesia Ferry (Persero);2017;44;2610016
PT Asuransi Jiwasraya (Persero);2017;27;25755496
PT Aviasi Pariwisata Indonesia (Persero);2017;3;16619074
PT Bahana Pembinaan Usaha Indonesia (Persero);2017;28;19680407
PT Bank Mandiri (Persero) Tbk;2017;29;105309708
PT Bank Negara Indonesia (Persero) Tbk;2017;30;61452441
PT Bank Rakyat Indonesia (Persero) Tbk;2017;31;135133970
PT Bank Tabungan Negara (Persero) Tbk;2017;32;20877513
PT BioFarma (Persero);2017;12;10770367
PT Biro Klasifikasi Indonesia (Persero);2017;14;4099977
PT Brantas Abipraya (Persero);2017;36;4116329
PT Danareksa (Persero);2017;7;446414
PT Garuda Indonesia (Persero) Tbk;2017;4;55909328
PT Hutama Karya (Persero);2017;37;18346073
PT Indonesia Asahan Aluminium (Persero);2017;23;47184283
PT Industri Kereta Api (Persero);2017;17;2580166
PT Industri Nuklir Indonesia (Persero);2017;13;24874
PT Jasa Marga (Persero) Tbk;2017;38;35092196
PT Kereta Api Indonesia (Persero);2017;50;17938975
PT Krakatau Steel (Persero) Tbk;2017;16;19393684
PT LEN Industri (Persero);2017;15;4253179
PT Pelabuhan Indonesia (Persero);2017;46;25320278
PT Pelayaran Nasional Indonesia (Persero);2017;45;4880774
PT Pembangunan Perumahan (Persero) Tbk;2017;39;21502260
PT Pengembangan Pariwisata Indonesia (Persero);2017;6;246385
PT Perkebunan Nusantara III (Persero);2017;21;35285827
PT Pertamina (Persero);2017;10;574967606
PT Perusahaan Listrik Negara (Persero);2017;11;301062212
PT Pos Indonesia (Persero);2017;49;4328499
PT Pupuk Indonesia (Persero);2017;19;58942682
PT Rajawali Nusantara Indonesia (Persero);2017;20;5157173
PT Reasuransi Indonesia Utama (Persero);2017;24;3257708
PT Semen Baturaja (Persero) Tbk;2017;35;1551525
PT Semen Indonesia (Persero) Tbk;2017;40;27813664
PT Taspen (Persero);2017;25;16835340
PT Telekomunikasi Indonesia (Persero) Tbk;2017;8;128256000
PT Waskita Karya (Persero) Tbk;2017;41;45212898
PT Wijaya Karya (Persero) Tbk;2017;42;26176403
