Perum Bulog
Perum Damri
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia
Perum Pengangkutan Penumpang Djakarta
Perum Percetakan Uang Republik Indonesia
Perum Perhutani
Perum Perumnas
Perum Produksi Film Negara
PT Adhi Karya (Persero) Tbk
PT ASABRI (Persero)
PT ASDP Indonesia Ferry (Persero)
PT Asuransi Jiwasraya (Persero)
PT Aviasi Pariwisata Indonesia (Persero)
PT Bahana Pembinaan Usaha Indonesia (Persero)
PT Bank Mandiri (Persero) Tbk
PT Bank Negara Indonesia (Persero) Tbk
PT Bank Rakyat Indonesia (Persero) Tbk
PT Bank Tabungan Negara (Persero) Tbk
PT BioFarma (Persero)
PT Biro Klasifikasi Indonesia (Persero)
PT Brantas Abipraya (Persero)
PT Danareksa (Persero)
PT Garuda Indonesia (Persero) Tbk
PT Hutama Karya (Persero)
PT Indonesia Asahan Aluminium (Persero)
PT Industri Kereta Api (Persero)
PT Industri Nuklir Indonesia (Persero)
PT Jasa Marga (Persero) Tbk
PT Kereta Api Indonesia (Persero)
PT Krakatau Steel (Persero) Tbk
PT LEN Industri (Persero)
PT Pelabuhan Indonesia (Persero)
PT Pelayaran Nasional Indonesia (Persero)
PT Pembangunan Perumahan (Persero) Tbk
PT Pengembangan Pariwisata Indonesia (Persero)
PT Perkebunan Nusantara III (Persero)
PT Pertamina (Persero)
PT Perusahaan Listrik Negara (Persero)
PT Pos Indonesia (Persero)
PT Pupuk Indonesia (Persero)
PT Rajawali Nusantara Indonesia (Persero)
PT Reasuransi Indonesia Utama (Persero)
PT Semen Baturaja (Persero) Tbk
PT Semen Indonesia (Persero) Tbk
PT Taspen (Persero)
PT Telekomunikasi Indonesia (Persero) Tbk
PT Waskita Karya (Persero) Tbk
PT Wijaya Karya (Persero) Tbk
