Company;Year;Code;TOTAL LIABILITAS
PT Brantas Abipraya (Persero);2019;36;3888980
PT Danareksa (Persero);2019;7;0
PT Garuda Indonesia (Persero) Tbk;2019;4;16071785
PT Hutama Karya (Persero);2019;37;21806516
PT Indonesia Asahan Aluminium (Persero);2019;23;43665723
PT Industri Kereta Api (Persero);2019;17;6157304
PT Industri Nuklir Indonesia (Persero);2019;13;29111
PT Jasa Marga (Persero) Tbk;2019;38;11612566
PT Kereta Api Indonesia (Persero);2019;50;6898724
PT Krakatau Steel (Persero) Tbk;2019;16;14586690
PT LEN Industri (Persero);2019;15;4841997
PT Pelabuhan Indonesia (Persero);2019;46;30215776
PT Pelayaran Nasional Indonesia (Persero);2019;45;3449572
PT Pembangunan Perumahan (Persero) Tbk;2019;39;41704590
PT Pengembangan Pariwisata Indonesia (Persero);2019;6;301374
PT Perkebunan Nusantara III (Persero);2019;21;24379147
PT Pertamina (Persero);2019;10;319838893
PT Perusahaan Listrik Negara (Persero);2019;11;151431021
PT Pos Indonesia (Persero);2019;49;4003645
PT Pupuk Indonesia (Persero);2019;19;51467947
PT Rajawali Nusantara Indonesia (Persero);2019;20;4557487
PT Reasuransi Indonesia Utama (Persero);2019;24;8889868
PT Semen Baturaja (Persero) Tbk;2019;35;1071983
PT Semen Indonesia (Persero) Tbk;2019;40;16658531
PT Taspen (Persero);2019;25;86332353
PT Telekomunikasi Indonesia (Persero) Tbk;2019;8;41722000
PT Waskita Karya (Persero) Tbk;2019;41;49037843
PT Wijaya Karya (Persero) Tbk;2019;42;42335472
Perum Bulog;2018;18;35226557
Perum Damri;2018;47;187492
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2018;5;3588962
Perum Pengangkutan Penumpang Djakarta;2018;48;103124
Perum Percetakan Uang Republik Indonesia;2018;33;1921786
Perum Perhutani;2018;22;3314309
Perum Perumnas;2018;43;9286525
Perum Produksi Film Negara;2018;9;11458
PT Adhi Karya (Persero) Tbk;2018;34;25429544
PT ASABRI (Persero);2018;26;36294884
PT ASDP Indonesia Ferry (Persero);2018;44;2128738
PT Asuransi Jiwasraya (Persero);2018;27;448214
PT Aviasi Pariwisata Indonesia (Persero);2018;3;11362291
PT Bahana Pembinaan Usaha Indonesia (Persero);2018;28;54303894
PT Bank Mandiri (Persero) Tbk;2018;29;506332915
PT Bank Negara Indonesia (Persero) Tbk;2018;30;267836821
PT Bank Rakyat Indonesia (Persero) Tbk;2018;31;1301127770
PT Bank Tabungan Negara (Persero) Tbk;2018;32;78698153
PT BioFarma (Persero);2018;12;8628971
PT Biro Klasifikasi Indonesia (Persero);2018;14;3216691
PT Brantas Abipraya (Persero);2018;36;3195197
PT Danareksa (Persero);2018;7;1691247
PT Garuda Indonesia (Persero) Tbk;2018;4;19650351
PT Hutama Karya (Persero);2018;37;14813363
PT Indonesia Asahan Aluminium (Persero);2018;23;45085189
PT Industri Kereta Api (Persero);2018;17;5222126
PT Industri Nuklir Indonesia (Persero);2018;13;18386
PT Jasa Marga (Persero) Tbk;2018;38;11813856
PT Kereta Api Indonesia (Persero);2018;50;8950940
PT Krakatau Steel (Persero) Tbk;2018;16;14332135
PT LEN Industri (Persero);2018;15;4302343
PT Pelabuhan Indonesia (Persero);2018;46;36114296
PT Pelayaran Nasional Indonesia (Persero);2018;45;2886301
PT Pembangunan Perumahan (Persero) Tbk;2018;39;37534483
PT Pengembangan Pariwisata Indonesia (Persero);2018;6;383742
PT Perkebunan Nusantara III (Persero);2018;21;16874548
PT Pertamina (Persero);2018;10;335296028
PT Perusahaan Listrik Negara (Persero);2018;11;90292980
PT Pos Indonesia (Persero);2018;49;3824092
PT Pupuk Indonesia (Persero);2018;19;57647384
PT Rajawali Nusantara Indonesia (Persero);2018;20;3693415
PT Reasuransi Indonesia Utama (Persero);2018;24;7802025
PT Semen Baturaja (Persero) Tbk;2018;35;1358329
PT Semen Indonesia (Persero) Tbk;2018;40;16007685
PT Taspen (Persero);2018;25;30493116
PT Telekomunikasi Indonesia (Persero) Tbk;2018;8;43268000
PT Waskita Karya (Persero) Tbk;2018;41;66989131
PT Wijaya Karya (Persero) Tbk;2018;42;43555496
Perum Bulog;2017;18;23624494
Perum Damri;2017;47;145763
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2017;5;3104795
Perum Pengangkutan Penumpang Djakarta;2017;48;107329
Perum Percetakan Uang Republik Indonesia;2017;33;2170617
Perum Perhutani;2017;22;1944292
Perum Perumnas;2017;43;7343089
Perum Produksi Film Negara;2017;9;6187
PT Adhi Karya (Persero) Tbk;2017;34;24817671
PT ASABRI (Persero);2017;26;32443823
PT ASDP Indonesia Ferry (Persero);2017;44;2053445
PT Asuransi Jiwasraya (Persero);2017;27;0
PT Aviasi Pariwisata Indonesia (Persero);2017;3;13743050
PT Bahana Pembinaan Usaha Indonesia (Persero);2017;28;0
PT Bank Mandiri (Persero) Tbk;2017;29;0
PT Bank Negara Indonesia (Persero) Tbk;2017;30;0
PT Bank Rakyat Indonesia (Persero) Tbk;2017;31;39661960
