Company;Year;Code;ASET LANCAR;ASET TIDAK LANCAR;TOTAL ASET;LIABILITAS JANGKA PENDEK;LIABILITAS JANGKA PANJANG;TOTAL LIABILITAS;MODAL  SAHAM;TAMBAHAN MODAL  DISETOR;BPYBDS;EKUITAS LAIN;SALDO LABA (RUGI);EKUITAS YANG DIATRIBUSIKAN KEPADA  PEMILIK ENTITAS;KEPENTINGAN NON PENGENDALI;JUMLAH  EKUITAS
Perum Perhutani;2017;22;1944292;2133028;4077320;713891;1810496;2524387;2586303;-1334148;0;-874769;1188059;1565445;-12512;1552933
Perum Perumnas;2017;43;7343089;655342;7998430;2344160;2595018;4939178;1000;1960375;0;237339;847849;3046563;12689;3059252
Perum Produksi Film Negara;2017;9;6187;30209;36396;20803;230;21033;40000;14904;0;0;-39541;15363;0;15363
PT Adhi Karya (Persero) Tbk;2017;34;24817671;3515277;28332948;17633289;4829741;22463031;356085;2588834;0;468500;2445826;5859246;10672;5869917
PT ASABRI (Persero);2017;26;32443823;12582822;45026645;3357478;39158353;42515831;200000;0;0;-963106;3273921;2510815;0;2510815
PT ASDP Indonesia Ferry (Persero);2017;44;2053445;4372593;6426037;411214;136848;548062;2989250;875980;794289;-7285;1167447;5819681;58293;5877975
PT Asuransi Jiwasraya (Persero);2017;27;0;0;45105929;0;0;38476218;235000;0;0;3988490;2400829;6624319;5392;6629711
PT Aviasi Pariwisata Indonesia (Persero);2017;3;13743050;54673591;68416642;8849391;15120895;23970287;13676068;5007472;552274;8440130;16763751;44439696;6661;44446357
PT Bahana Pembinaan Usaha Indonesia (Persero);2017;28;0;0;62016910;0;0;26555342;13736233;6211000;0;264205;14326902;34538339;923229;35461567
PT Bank Mandiri (Persero) Tbk;2017;29;0;0;1124700847;0;0;954694715;11666667;17316192;0;26378462;111357522;166718843;3287289;170006132
PT Bank Negara Indonesia (Persero) Tbk;2017;30;0;0;709330084;0;0;608426780;9054807;14568468;0;14655509;60313505;98592289;2311015;100903304
PT Bank Rakyat Indonesia (Persero) Tbk;2017;31;39661960;9025132;1186328792;24118917;6357915;998956087;13717291;354910;0;22104809;150585955;186762965;609740;187372705
PT Bank Tabungan Negara (Persero) Tbk;2017;32;0;0;261365267;0;0;239701833;5295000;2054454;0;2802091;11511889;21663434;0;21663434
PT BioFarma (Persero);2017;12;6557159;7518314;14075473;3842352;1484234;5326586;2865327;158641;0;1805584;3857087;8686638;62249;8748887
PT Biro Klasifikasi Indonesia (Persero);2017;14;2628328;2534908;5163236;789368;540123;1329491;580000;1287;0;993394;2261415;3836097;-2351;3833746
PT Brantas Abipraya (Persero);2017;36;2974823;1341601;4316423;2366197;893462;3259659;161555;0;0;158591;725710;1045855;10909;1056764
PT Danareksa (Persero);2017;7;0;0;3644235;0;0;2407527;701480;85927;0;441888;7262;1236557;151;1236708
PT Garuda Indonesia (Persero) Tbk;2017;4;13368376;37616706;50985081;26037172;12247077;38284249;17752310;318737;0;58672;-6007216;12122503;578330;12700833
PT Hutama Karya (Persero);2017;37;15578134;33137500;48715634;14395250;25775296;40170546;6100000;0;0;467494;1974835;8542329;2759;8545088
PT Indonesia Asahan Aluminium (Persero);2017;23;37463082;55781647;93244729;15125792;12111663;27237455;54177941;-18199606;0;12767071;4532291;53277697;12729577;66007274
PT Industri Kereta Api (Persero);2017;17;5076139;833948;5910087;3396681;1044708;4441389;1251843;0;0;364019;-158545;1457317;11381;1468698
PT Industri Nuklir Indonesia (Persero);2017;13;17941;24512;42452;13166;27513;40679;27200;0;0;0;-25426;1774;0;1774
PT Jasa Marga (Persero) Tbk;2017;38;18987065;60205708;79192773;24997940;35835393;60833333;3628936;3997085;0;-653197;8124829;15097653;3261787;18359440
PT Kereta Api Indonesia (Persero);2017;50;12248380;21290026;33538406;6539213;13899379;20438592;6668743;2000968;0;-459750;4677415;12887376;212438;13099814
PT Krakatau Steel (Persero) Tbk;2017;16;13841951;41899751;55741702;18451089;12188756;30639845;13379639;1654712;0;18325513;-8174254;25185610;-83754;25101856
PT LEN Industri (Persero);2017;15;4015558;1423362;5438920;3838572;817045;4655618;175001;0;0;281581;216359;672941;110362;783302
PT Pelabuhan Indonesia (Persero);2017;46;32841986;56636290;89478278;11200611;42605350;53805962;7275067;-222424;525885;980628;25101790;33660946;2011371;35672318
PT Pelayaran Nasional Indonesia (Persero);2017;45;2985523;3731291;6716814;787420;147322;934742;7065092;564951;0;0;-1849837;5780206;1866;5782072
PT Pembangunan Perumahan (Persero) Tbk;2017;39;29907849;11874932;41782781;20699815;6839856;27539670;619990;4709945;0;2060811;4062975;11453720;2789390;14243110
PT Pengembangan Pariwisata Indonesia (Persero);2017;6;500435;1249241;1749676;186364;135872;322236;660000;297808;0;-4149;473781;1427440;0;1427440
PT Perkebunan Nusantara III (Persero);2017;21;14861505;99453767;114315272;22015416;39676726;61692142;34059877;0;0;20997553;-7000606;48056824;4566306;52623130
PT Pertamina (Persero);2017;10;234201648;459639799;693841446;127581367;243460635;371042002;181774153;37067;12453;6613332;127504238;315941243;6858201;322799444
PT Perusahaan Listrik Negara (Persero);2017;11;93851887;1241174601;1335026488;139089840;326495865;465585705;109842081;141364;20729901;618462276;119766966;868942588;498195;869440782
PT Pos Indonesia (Persero);2017;49;3878650;3990518;7869168;3813550;745416;4558966;455023;0;0;1413186;1473355;3341564;-31361;3310203
PT Pupuk Indonesia (Persero);2017;19;48455634;80032392;128488026;36863153;29021158;65884311;12899908;0;0;29212273;20316337;62428518;175197;62603715
PT Rajawali Nusantara Indonesia (Persero);2017;20;3352229;8655720;12007949;3148900;2994299;6143200;1027425;25221;0;3346592;993162;5392401;472349;5864750
PT Reasuransi Indonesia Utama (Persero);2017;24;0;0;8087703;0;0;5204277;878358;270;0;851092;1153691;2883411;16;2883427
PT Semen Baturaja (Persero) Tbk;2017;35;1123602;3936735;5060337;668828;978649;1647477;992480;1247473;0;-44544;1217417;3412826;34;3412860
PT Semen Indonesia (Persero) Tbk;2017;40;13801819;35161684;48963503;8803577;9720874;18524451;593152;1458258;0;130224;26733361;28914995;1524057;30439052
PT Taspen (Persero);2017;25;0;0;230378551;0;0;216419901;100000;0;0;-121686;13972831;13951145;7506;13958651
PT Telekomunikasi Indonesia (Persero) Tbk;2017;8;47561000;150923000;198484000;45376000;40978000;86354000;5040000;2390000;0;387000;84896000;92713000;19417000;112130000
PT Waskita Karya (Persero) Tbk;2017;41;52427017;45468743;97895761;52309198;22831738;75140936;1357390;5467018;0;500948;6681081;14006438;8748387;22754825
PT Wijaya Karya (Persero) Tbk;2017;42;34910108;10773666;45683774;25975617;5076332;31051950;896995;6545449;0;1187875;4003198;12633516;1998308;14631825
